rank,title,artist,release,summary,metascore,userscore
1670,What We Say in Private,Ada Lea,"July 19, 2019",The debut full-length release for the Canadian artist was co-produced by Tim Gowdy.,82,tbd
1671,Funeral Mariachi,Sun City Girls,"October 26, 2010",This is the final album for the rock trio who decided to end the band after the death of drummer Charles Gocher in 2007.,82,tbd
1672,Cut the World [Live],Antony and the Johnsons,"August 7, 2012",Antony Hegarty and his band recorded live in Denmark with the Danish National Chamber Orchestra some of the songs from the group's four previous releases with new arrangements.,82,7.3
1673,Universal Audio,The Delgados,"September 28, 2004","The fifth and final album from The Delgados (released on the band's own Chemikal Underground label) was co-produced with Tony Doogan. It ditches the strings of its orchestral predecessor, 'Hate,' to take a much poppier approach.",82,8.2
1674,II Trill,Bun B,"May 20, 2008","UGK's Bun B sophomore solo album's featured guests include Sean Kingston, Pimp C, Lupe Fiasco, Lil Wayne, Mya, Chamillionaire, and Juvenile.",82,8.2
1675,Valdez,Birds of Maya,"June 25, 2021","The fourth full-length release for the Philadelphia noise-rock trio of Mike Polizze, Jason Killinger and Ben Leaphart was recorded in 2014.",82,tbd
1676,Rap Or Go To The League,2 Chainz,"March 1, 2019","The fifth full-length studio release for the rapper features guest appearances from Marsha Ambrosius, Chance the Rapper, E-40, Ariana Grande, Kodak Black, Kendrick Lamar, Lil Wayne, Travis Scott, Ty Dolla Sign, and Young Thug.",82,7.3
1677,Fallen Trees,Lubomyr Melnyk,"December 7, 2018","The latest full-length release for the Ukrainian pianist/composer features contributions from David Allred, Anne Müller, and Hatis Noit.",82,tbd
1678,Songs You Make at Night,Tunng,"August 24, 2018",The sixth full-length release for the British folktronica collective feature the original line-up.,82,tbd
1679,Now That I'm a River,Charles Watson,"May 18, 2018",The debut full-length solo release for the Slow Club/The Surfing Magazines member was self-produced.,82,tbd
1680,What If,Hauschka,"March 31, 2017",The eighth full-length release for German pianist/composer Volker Bertelmann under the name Hauschka features player pianos (also known as pianolas).,82,7.6
1681,A Cosmic Rhythm with Each Stroke,Vijay Iyer,"March 25, 2016",The debut full-length release for the duet between Vijay Iyer and Wadada Leo Smith was produced by Manfred Eicher.,82,7.5
1682,Cortar Todo,Zu,"March 23, 2015",The latest release for the Italian experimental jazz-metal band is its first with new drummer Gabe Serbian.,82,tbd
1683,Impossible Spaces,Sandro Perri,"October 18, 2011","The second album under his real name combines the sounds of electronic, folk and rock music.",82,tbd
1684,Love Is Overtaking Me,Arthur Russell,"October 28, 2008",The album features 21 tracks never before released by the late singer/songwriter Arthur Russell.,82,tbd
1685,La Foret,Xiu Xiu,"July 12, 2005",The experimental indie-rockers led by Jamie Stewart return with album number four.,82,8.3
1686,Couple Tracks: Singles 2002-2009,Fucked Up,"January 26, 2010","The two-disc collection of the punk rock band's singles plus five unreleased tracks (demos, outakes, and session versions).",82,tbd
1687,Real,Lydia Loveless,"August 19, 2016",The fourth full-length release for the alt-country singer-songwriter was produced by Joe Viers.,82,6.8
1688,Wakin on a Pretty Daze,Kurt Vile,"April 9, 2013",The fifth release for the Philadelphia singer-guitarist was produced by John Agnello.,82,8.6
1689,Nearer My God,Foxing,"August 10, 2018",The third full-length release for the St. Louis indie rock band was produced by Matt Bayles.,82,8.1
1690,Panorama,La Dispute,"March 22, 2019",The fourth full-length release for the Michigan post-hardcore band was produced with Will Yip.,82,8.1
1691,Hot Thoughts,Spoon,"March 17, 2017",The ninth full-length release for indie rock band was co-produced with Dave Fridmann.,82,8.0
1692,Inferno,Robert Forster,"March 1, 2019",The seventh full-length solo release for the Australian singer-songwriter was produced by Victor Van Vugt.,82,tbd
1693,50,Michael Chapman,"January 20, 2017","The British folk singer-songwriter worked with Steve Gunn, who also produced the album features guest vocals from Bridget St John and a band that includes Nathan Bowles, James Elkington, and Jimy SeiTang.",82,tbd
1694,Film of Life,Tony Allen,"October 14, 2014",The tenth studio release for the Afrobeat drummer was recorded in France with the Jazzbastards.,82,tbd
1695,At My Age,Nick Lowe,"June 26, 2007","His age? 58. And ""At My Age"" marks the first studio recording for the English singer-songwriter in six years.",82,8.7
1696,Smoke Ring for My Halo,Kurt Vile,"March 8, 2011",The fourth full-length from the Philadelphian songwriter showcases his ability to weave stories and strings together with his lyrical craftsmanship – comparable to Tom Petty and Bob Seger – and guitar-playing skills.,82,8.1
1697,Dig in Deep,Bonnie Raitt,"February 26, 2016",The 20th studio release for the multiple Grammy-winning blues singer-songwriter was self-produced.,82,6.5
1701,Bad Vibes,Shlohmo,"August 9, 2011",The second album for Los Angeles producer Henry Laufer is the first to feature his vocals.,82,7.6
1702,Folklore,16 Horsepower,"August 6, 2002",The moody alt-country band led by David Eugene Edwards returns with its darkest set of songs yet.,82,7.8
1703,Murray Street,Sonic Youth,"June 25, 2002","Now into their third decade of recording, Sonic Youth offer up a return to form that has more in common with their output of the 80s than with anything they have released in recent years. Multi-instrumentalist Jim O'Rourke, who worked with the band on their previous effort 'NYC Ghosts & Flowers,' is now a full-fledged member of the group.",82,8.5
1704,Asleep In The Back,Elbow,"January 22, 2002","Often compared to Doves and Radiohead, Manchester-based Elbow is yet another new alternative band to emerge from the British music press hype machine. This debut album was shortlisted for 2001's Mercury Music Prize.",82,8.6
1705,Discovery of a World Inside the Moone,The Apples In Stereo,"April 18, 2000",,82,7.8
1706,All the Time,Jessy Lanza,"July 24, 2020",The third full-length release for the New York-based Canadian pop artist was again produced with Junior Boys' Jeremy Greenspan.,82,7.3
1707,The Secret,Vieux Farka Touré,"May 24, 2011","The third album for the son of Ali Farka Toure integrates different musical styles with his Malian music and includes such guest stars as Dave Matthews, Derek Trucks, and John Scofield.",82,tbd
1708,August,Shannon Lay,"August 23, 2019","The third full-length release for the Los Angeles singer-songwriter was produced with Ty Segall and features contributions from Mikal Cronin, Nick Murray and Segall.",82,tbd
1709,Wild Light,65daysofstatic,"October 29, 2013",This is the sixth studio release for the instrumental British post-rock band.,82,7.7
1710,Matador,Gaz Coombes,"January 26, 2015",This is the second solo release for the former Supergrass lead singer.,82,8.4
1711,Sea When Absent,A Sunny Day in Glasgow,"June 24, 2014","The fourth full-length release for the dream pop group led by Ben Daniels was produced by band member, Jeff Ziegler.",82,8.2
1712,PROTO,Holly Herndon,"May 10, 2019","The third full-length release for the electronic artist was created with the help of an A.I. program co-created by Herndon and Mat Dryhurst called Spawn and features guest appearances from Annie Garlid, Lily Anna Haynes, Evelyn Saylor, Spawn, Jenna Sutela, and Martine Syms.",82,7.9
1713,Schlagenheim,Black Midi,"June 21, 2019",The debut full-length release for the rock band who met at BRIT School was recorded by producer Dan Carey.,82,8.3
1714,Historian,Lucy Dacus,"March 2, 2018",The second full-length release for the Virginia-based indie singer-songwriter was produced by Collin Pastore and mixed by John Congleton.,82,8.1
1715,By The Time I Get To Phoenix,Injury Reserve,"September 15, 2021","The latest full-length release from the Arizona alternative rap group is its last with Stepa J. Groggs, who passed away in June 2020 and features a guest appearance from Zelooperz.",82,8.8
1716,Front Row Seat to Earth,Weyes Blood,"October 21, 2016",The latest full-length release for singer-songwriter Natalie Mering was co-produced with Chris Cohen.,82,8.3
1717,An Empty Bliss Beyond This World,The Caretaker,"June 21, 2011",British producer/experimental artist Jim Kirby releases his latest album under The Caretaker name.,82,8.5
1718,Love Me Back,Jazmine Sullivan,"November 30, 2010","The Philadelphia-born R&B singer/songwriter who has written songs for such artists as Christina Milian, Monica, and Jennifer Hudson, releases her second solo album.",82,8.8
1719,By The Throat,Ben Frost,"November 10, 2009","Classical-minimalist composer Ben Frost makes eerie, ambient-electronic noise in By the Throat.",82,8.6
1720,Midnight At The Movies,Justin Townes Earle,"March 3, 2009",The second album for the son of Steve Earle was produced by RS Field and Steve Poulton.,82,8.6
1721,Rather Ripped,Sonic Youth,"June 13, 2006","This self-produced 20th album finds the New York band back down to a four-piece, with Jim O'Rourke dropping out after two albums.",82,8.8
1722,Great Spans of Muddy Time,William Doyle,"March 19, 2021",The latest full-length release for the British artist previously known under the name East India Youth was completed from cassette recordings after a hard-drive failure.,82,7.5
1723,Desertshore/The Final Report,X-TG,"November 26, 2012","The two-disc set includes a reworking of the incomplete ""reversion"" of Nico's Desertshore album with guest vocalists taking over lead vocals from Genesis P-Orridge, who left Throbbing Gristle in 2007. The Final Report contains songs by Chris Carter, Peter Christopherson, and Cosey Fanni Tutti before Christopherson passed away in 2010.",82,tbd
1724,True Love Cast Out All Evil,Roky Erickson With Okkervil River,"April 20, 2010","The 13th Floor Elevators founder returns with his first album of new music in more than 10 years, and Okkervil River joins him as his backing band.",82,8.3
1725,It's Blitz,Yeah Yeah Yeahs,"March 31, 2009",The third album for the New York band was produced by Nick Launay and Dave Sitek.,82,8.3
1726,Midnight Sun,The Ghost of a Saber Tooth Tiger,"April 29, 2014",The latest release from the duo of Sean Lennon and Charlotte Kemp Muhl was self-produced (except for one Mark Ronson-produced track) and mixed by Dave Fridmann.,82,8.4
1727,Absolute Zero,Bruce Hornsby,"April 12, 2019","The fourth full-length solo studio release for the singer-songwriter features guest appearances by Jack DeJohnette, Blake Mills, Rob Moose, Justin Vernon, and yMusic.",82,tbd
1728,American Love Call,Durand Jones & the Indications,"March 1, 2019",The second full-length release for the Indiana R&B/soul band sees drummer Aaron Frazer taking the lead on six songs.,82,8.6
1729,Blank Project,Neneh Cherry,"February 25, 2014",The Swedish pop singer worked with producer Kieran Hebden and RocketNumber Nine on her first solo release in over 18 years.,82,7.7
1730,Tara Jane O'Neil,Tara Jane O'Neil,"April 21, 2017","The latest full-length solo release for the singer-songwriter features guest appearances from Chris Cohen, Carolyn Pennypacker-Riggs and Joan Shelley.",82,8.0
1731,Up to Anything,The Goon Sax,"March 18, 2016","This is the debut full-length release for the indie pop trio from Brisbane, Australia.",82,8.5
1732,No Way There from Here,Laura Cantrell,"January 28, 2014",The fifth studio release for the the country singer was recorded in Nashville and is her first album of original material since 2005’s Humming By The Flowered Vine.,82,tbd
1733,Dig Thy Savage Soul,Barrence Whitfield & the Savages,"August 13, 2013","The second release since the reformation of the rock and R&B band (with new drummer Andy Jody and saxophonist Tom Quartulli) in 2010, is its first on the Bloodshot label.",82,tbd
1734,Condors,Nedry,"April 19, 2011","Named after a character in Jurassic Park, the British trio releases their debut album, with band member Ayu Okakita's voice as a looped instrument.",82,8.4
1735,There Is Love In You,Four Tet,"January 26, 2010",The fifth album from Kieran Hebden is his first full-length release in five years.,82,8.1
1736,Childqueen,Kadhja Bonet,"June 8, 2018",The second full-release for the Los Angeles-based artist was self-produced and mixed.,82,8.7
1737,Hold On!,The James Hunter Six,"February 5, 2016",The fourth full-length release for the R&B/soul singer and his band was recorded live with producer Gabriel Roth.,82,6.4
1738,Heavy Light,U.S. Girls,"March 6, 2020",The latest full-length release for the solo project for Meghan Remy was recorded live in Montreal with 20 session musicians.,82,7.6
1739,Birth of Violence,Chelsea Wolfe,"September 13, 2019",The sixth full-length release for the California singer-songwriter was recorded by Ben Chisholm.,82,7.6
1740,Brothers,The Black Keys,"May 18, 2010",The latest album for the duo of Daniel Auerbach and Patrick Carney features two tracks produced with Danger Mouse.,82,8.6
1741,The  Dream Is Over,PUP,"May 27, 2016",The second full-length release for the Toronto punk band was recorded despite a diagnosis of a possible end of Stefan Babcock's singing career due to a hemorrhaging cyst on his vocal cords if he continued.,82,8.4
1742,Jarvis,Jarvis Cocker,"April 3, 2007","Pulp frontman Jarvis Cocker makes his solo debut with this 14-song disc (which includes recent single ""Running The World"" as a secret bonus track).",82,8.4
1743,Post-Nothing,Japandroids,"August 4, 2009","This is the debut full-length album for the indie-rock duo from Vancouver, Canada.",82,8.5
1744,Pain Is Beauty,Chelsea Wolfe,"September 3, 2013",The fourth full-length studio release for the experimental California singer-songwriter was produced with Ben Chisholm.,82,8.8
1745,Saturation III,BROCKHAMPTON,"December 15, 2017",The third and final release of the trilogy of albums from the California-based alternative hip hop group.,82,8.6
1746,Zoy Zoy,Tal National,"April 13, 2015",The second full-length release for the group based in Niger was recorded by Jamie Carter.,82,tbd
1747,Stitches,Califone,"September 3, 2013","The seventh release for the indie experimental rock band led by Tim Rutili was recorded in Arizona, California, and Texas.",82,8.0
1748,Wildcard,Miranda Lambert,"November 1, 2019",The seventh full-length release for the country singer-songwriter features a guest appearance from Maren Morris and was produced by Jay Joyce.,82,8.4
1749,ATAXIA,Rian Treanor,"March 15, 2019",This is the debut full-length release for the British electronic producer.,82,tbd
1750,Cry Cry Cry,Wolf Parade,"October 6, 2017",The first full-length release in seven years for the indie-rock band led by Spencer Krug and Dan Boeckner was produced by John Goodmanson.,82,8.2
1751,Primary Colours,The Horrors,"May 5, 2009",The second album for the British rock band was produced by Portishead's Geoff Barrow.,82,8.8
1752,Album Of The Year,The Good Life,"August 10, 2004","The Good Life is a side project for Cursive's Tim Kasher, and this third full-length release (following the 'Lovers Need Lawyers' EP) finds him joined by Stefanie Drootin, Ryan Fox and Roger Lewis.",82,8.8
1753,Venice,Fennesz,"March 22, 2004","Vienna's Christian Fennesz, who creates ambient electronica based on processed guitar sounds, returns with his first solo studio effort in four years. David Sylvian guests on one track.",82,8.0
1754,Haha Sound,Broadcast,"August 12, 2003","This is just the second full-length recording for the Birmingham, England experimental pop outfit founded in 1995. Included here is the track ""Pendulum"" from the recent EP of the same name.",82,8.7
1755,band red,KaitO,"May 20, 2003","This is the sophomore disc for the Norwich, England rock band (led by excitable vocalist Nikki Colk) who at times recall a harder-rocking Electrelane or a UK version of the Yeah Yeah Yeahs.",82,tbd
1756,The Moon & Antarctica,Modest Mouse,"June 13, 2000",,82,8.9
1757,Good Looking Blues,Laika,"April 18, 2000",The third release from the trip-hop/indie/rock/electronic/jazz/pop band named after the first dog in outer space.,82,tbd
1758,SIGN,Autechre,"October 16, 2020",This is the 14th full-length studio release for the British electronic duo of of Sean Booth and Rob Brown.,82,7.2
1759,The Million Masks of God,Manchester Orchestra,"April 30, 2021",The latest full-length studio release for the Atlanta indie rock band was produced with Ethan Gruska and Catherine Marks.,81,8.0
1760,Solo,Vijay Iyer,"September 14, 2010","The pianist's follow-up to last year's Historicity, where he worked as part of a trio, is a solo album of originals and covers.",81,tbd
1761,Other You,Steve Gunn,"August 27, 2021",The latest full-length solo release for the indie singer-songwriter was recorded in Los Angeles with producer Rob Schnapf.,81,tbd
1762,Help Us Stranger,The Raconteurs,"June 21, 2019","The first new studio release in 11 years for the Detroit rock band features a cover of Donovan's ""Hey Gyp (Dig the Slow)"" and was self-produced with Joshua V. Smith.",81,7.9
1763,Blood,Kelsey Lu,"April 19, 2019","The debut full-length release for the Los Angeles-based singer-songwriter and cellist features production from Jamie xx, Rodaidh McDonald, Skrillex, and Adrian Younge.",81,8.5
1764,Le Kov,Gwenno,"March 2, 2018",The singer-songwriter worked with Rhys Edwards on her second full-length release sung entirely in the Cornish-language.,81,7.8
1765,Sempiternal,Bring Me the Horizon,"April 2, 2013",The fourth release for the British metalcore band was produced by Terry Date and is its first with Worship's Jordan Fish.,81,8.1
1766,color theory,Soccer Mommy,"February 28, 2020",The fourth full-length release for the Nashville singer-songwriter was produced by Gabe Wax and mixed by Lars Stalfors.,81,8.3
1767,About Farewell,Alela Diane,"July 30, 2013",The folk singer-songwriter's divorce from Tom Bevitori was an influence on the John Askew-produced fourth full-length release.,81,8.3
1768,Apollo XXI,Steve Lacy,"May 24, 2019",The debut full-length solo studio release for The Internet guitarist features guest appearances from Daisy and Amandla Stenberg.,81,8.0
1769,False Readings On,Eluvium,"September 2, 2016",This is the eighth full-length studio release for Matthew Cooper under the name Eluvium.,81,7.5
1770,Honor Found In Decay,Neurosis,"October 30, 2012","The tenth full-length studio album for the Oakland, California metal band was produced with Steve Albini.",81,7.9
1771,Beware of the Dogs,Stella Donnelly,"March 8, 2019",The debut full-length release for the Australian singer-songwriter was  produced by Dean Tuza.,81,8.0
1772,Fading Frontier,Deerhunter,"October 16, 2015",The seventh full-length studio release for the Atlanta indie rock band was produced with Ben H. Allen III.,81,8.4
1773,Turn Up That Dial,Dropkick Murphys,"April 30, 2021",The 10th full-length studio release for the Boston Celtic punk band was produced by Ted Hutt.,81,tbd
1774,Of the Sun,Trupa Trupa,"September 13, 2019","The latest full-length release for the Polish alternative band led by Grzegorz Kwiatkowski was recorded, produced and mixed by Michal Kupicz.",81,tbd
1775,Love Remains,How to Dress Well,"October 19, 2010","The debut album for Tom Krell, a singer from Germany, includes tracks that were previously released on EPs.",81,8.3
1776,Written In Chalk,Buddy & Julie Miller,"March 3, 2009","Married couple Buddy and Julie Miller release their latest album together featuring guest artists including Robert Plant, Emmylou Harris, Patty Griffin, the McCrary Sisters, and Larry Campbell.",81,8.2
1777,The Midnight Sun,C Duncan,"October 14, 2016",The second full-length release for the Scottish artist was again self-recorded and produced.,81,7.6
1778,Irisiri,Eartheater,"June 8, 2018",The third full-length release for the Queens-based experimental artist Alexandra Drewchin features guest appearances by Moor Mother and Odwalla1221.,81,tbd
1779,The Next Day,David Bowie,"March 12, 2013","In the works for over two years with producer Tony Visconti, this is the first new studio release from David Bowie in ten years.",81,8.1
1780,Holy Ghost,Modern Baseball,"May 13, 2016",The third full-length release for the Philadelphia quartet features Jacob Ewald and Brendan Lukens splitting songwriting duties between themselves with production by Hop Along's Joe Reinhart.,81,7.7
1781,Banga,Patti Smith,"June 5, 2012","Patti Smith's first album since 2004's Trampin' features guest appearances by her children Jesse and Jackson, Tom Verlaine, and Jack Petruzzelli.",81,8.5
1782,New Multitudes,Jay Farrar/Will Johnson/Anders Parker/Yim Yames,"February 28, 2012","Unreleased songs from folk legend Woody Guthrie are interpreted by Son Volt's Jay Farrar, Centro-matic's Will Johnson, Anders Parker, and My Morning Jacket's Jim James.",81,tbd
1783,This Land,"Gary Clark, Jr.","February 22, 2019",The fifth full-length studio release for the Austin singer-guitarist was co-produced with Jacob Sciba.,81,7.7
1784,Never Were the Way She Was,Sarah Neufeld,"April 28, 2015",The debut full-length collaboration between Arcade Fire's saxophonist Colin Stetson and violinist Sarah Neufeld was produced by Hans Bernard.,81,7.6
1785,Tirtha,Vijay Iyer,"March 8, 2011",Vijay Iyer collaborates with Prasanna and Nitin Mitta to combine their different styles of music to create this jazz album.,81,tbd
1786,Tramp,Sharon Van Etten,"February 7, 2012","The third album for the singer-songwriter was produced by The National's Aaron Dessner, who also guests on the release with fellow band member Bryce Dessner, Julianna Barwick, Zach Condon of Beirut, Matt Barrick of The Walkmen, and Jenn Wasner of Wye Oak.",81,8.6
1787,Get Yer Ya-Ya's Out! The Rolling Stones In Concert [40th Anniversary Deluxe Box Set],The Rolling Stones,"November 3, 2009",The rerelease of the two-night concert at Madison Square Garden in 1969 features five unreleased tracks and tracks from the opening acts: BB King and Ike & Tina Turner.,81,8.2
1788,Not Your Muse,Celeste,"January 29, 2021","The debut full-length release for the Los Angeles-born, London-based singer-songwriter who won the BBC Sound of 2020 features production from Josh Crocker, Jamie Hartman and John Hill.",81,8.1
1789,New Breed,Dawn,"January 25, 2019","The fifth full-length solo release for Dawn Richard was influenced by her hometown of New Orleans and features contributions from Cole M.G.N, Hudson Mohawke and Kaveh Rastegar.",81,8.6
1790,Bellowing Sun,Mind Over Mirrors,"April 6, 2018",The latest full-length release for Jaime Fennelly's solo project was originally Commissioned by the  Museum of Contemporary Art Chicago and was produced by Tortoise's John McEntire.,81,tbd
1791,Condition,Spectres,"March 10, 2017",The second full-length release for the British alternative rock band was recorded by Dominic Mitchison.,81,tbd
1792,Faded Gloryville,Lindi Ortega,"August 7, 2015",The third full-length release for the Canadian country singer features a duet with former Civil Wars member John Paul White.,81,6.8
1793,Gandadiko,Samba Touré,"February 3, 2015",The latest full-length release for the Malian guitarist was produced by Philippe Sanmiguel.,81,tbd
1794,Common Ground: Dave & Phil Alvin Play and Sing the Songs of Big Bill Broonzy,Phil Alvin,"June 3, 2014",Blasters Dave and Phil Alvin come together for this tribute to Big Bill Broonzy.,81,tbd
1795,"Nashville, Vol. 1: Tear the Woodpile Down",Marty Stuart & His Fabulous Superlatives,"April 24, 2012","The latest album from country singer Marty Stuart features his band, the Fabulous Superlatives and includes guest appearances by Hank Williams III and Lorrie Carter Bennett.",81,tbd
1796,Mikal Cronin,Mikal Cronin,"September 20, 2011","The Moonhearts singer-bassist, who also works with Ty Segall, releases his solo debut album.",81,7.9
1797,"The  Randy Newman Songbook, Vol. 2",Randy Newman,"May 13, 2011",This is the second of three planned volumes of newly recorded piano solo versions of Randy Newman's songs.,81,tbd
1798,The Shadow Of An Empire,Fionn Regan,"February 8, 2010","The Irish singer-songwriter releases his follow-up to his 2006 Mercury Prize-nominated album ""The End of History.""",81,8.3
1801,Burner,Odd Nosdam,"June 14, 2005","The latest solo disc for the anticon producer (best known for his work in cLOUDDEAD) finds him joined by guests Mike Patton, Andrew Broder (Fog), and members of Subtle, Themselves and why?",81,8.8
1802,Blank Face LP,ScHoolboy Q,"July 8, 2016","The fourth full-length release for the Los Angeles rapper features guest appearances from Anderson .Paak, E-40, Jadakiss, Miguel, Candice Pillay, Lance Skiiiwalker, Vince Staples, SZA, Tha Dogg Pound, TF and Kanye West.",81,8.4
1803,Cheap Queen,King Princess,"October 25, 2019","The debut full-length release for the Brooklyn singer-songwriter features contributions from Father John Misty, Tobias Jesso Jr. and The Dap-Kings.",81,8.6
1804,Siberia,Polvo,"October 1, 2013",The second release for the North Carolina indie rock band since they reunited in 2007 is its sixth full-length album.,81,tbd
1805,Heaux Tales,Jazmine Sullivan,"January 8, 2021","The 14-track release for the Philadelphia R&B singer features guest appearances from Anderson .Paak, H.E.R. and Ari Lennox.",81,8.2
1806,The Weight of These Wings,Miranda Lambert,"November 18, 2016","The 24-track release from the country singer-songwriter features songs co-written with Anderson East, Natalie Hemby, Jack Ingram, Ashley Monroe, Josh Osborne, Liz Rose, and Foy Vance.",81,7.6
1807,Hiss Spun,Chelsea Wolfe,"September 22, 2017",The fifth full-length release for California alternative artist was produced by Converge's Kurt Ballou and features guest appearances from Queens Of The Stone Age's Troy Van Leeuwen and Isis/Sumac's Aaron Turner.,81,7.7
1808,Tarpaper Sky,Rodney Crowell,"April 15, 2014","After his Grammy-winning collaboration with Emmylou Harris, the singer-songwriter returns with his 14th self-produced solo release.",81,tbd
1809,John Wizards,John Wizards,"September 3, 2013","The full-length release for the South African duo of Emmanuel Nzaramba and producer John Withers includes influences from African, electronic, R&B, reggae, and soul music.",81,8.8
1810,Broken Politics,Neneh Cherry,"October 19, 2018",The fifth full-length solo studio release for the pop singer-songwriter was produced by Four Tet.,81,8.0
1811,Find Me Finding You,Laetitia Sadier Source Ensemble,"March 24, 2017",The debut release for the Stereolab frontwoman's project with the Source Ensemble features a duet with Hot Chip's Alexis Taylor.,81,tbd
1812,Total Strife Forever,East India Youth,"January 13, 2014",This is the debut full-length release for British electronic musician William Doyle.,81,8.0
1813,R.I.P.,Actress,"April 24, 2012",Darren Cunningham's latest album as Actress was partially inspired by John Milton's Paradise Lost,81,8.4
1814,Shape & Destroy,Ruston Kelly,"August 28, 2020","The second full-length release for the Nashville-based singer-songwriter 
was produced with Jarrad Kritzstein.",81,tbd
1815,Memory,Vivian Girls,"September 20, 2019",The fourth full-length release for the indie trio is its first since breaking up in 2014 and was produced with Rob Barbarto.,81,7.8
1816,Young Enough,Charly Bliss,"May 10, 2019",The second full-length release for the New York City alternative rock/pop band was produced by Joe Chiccarelli.,81,8.2
1817,Wonderful Rainbow,Lightning Bolt,"March 4, 2003","No, it's not *that* kind of drum'n'bass album. Instead, Rhode Island's Lightning Bolt literally consists of just two instrumentalists on drum and bass, and together the pair generate an experimental sonic fury on this, their second full-length.",81,8.8
1818,Under Construction,Missy Elliott,"November 12, 2002","Missy Elliott reunites once again with super-producer Timbaland on this, her fourth studio album. The lead single is ""Work It,"" a huge success even before the album's release. Guests on the disc include Jay-Z, Ludacris, Beyonce Knowles, TLC and Method Man.",81,8.2
1819,Songs In Red And Gray,Suzanne Vega,"September 25, 2001","Singer-songwriter Suzanne Vega fills her sixth studio album with 13 new compositions. Former producer (and former husband) Mitchell Froom is gone, replaced by Rupert Hine, who creates an overall sound that is more like Vega's earliest recordings than her Froom-produced output during the 1990s.",81,8.4
1820,Ivy Tripp,Waxahatchee,"April 7, 2015",The third full-length release for the New York-based Alabama singer-songwriter Katie Crutchfield was co-produced with Kyle Gilbride and Keith Spencer.,81,7.9
1821,Atlanta Millionaires Club,Faye Webster,"May 24, 2019",The third full-length release for the Atlanta-based indie singer-songwriter was co-produced with Drew Vandenberg.,81,7.6
1822,True Meanings,Paul Weller,"September 14, 2018","The 14th full-length solo studio release for British singer-songwriter was recorded in just over three weeks and features contributions from Rod Argent, Martin Carthy, Erland Cooper, Connor O’Brien, and Danny Thompson.",81,7.9
1823,Tears Of The Valedictorian,Frog Eyes,"May 1, 2007",This is the fourth full-length for the Canadian indie-rock band led by Carey Mercer (also of Swan Lake).,81,8.1
1824,More Faithful,No Joy,"June 9, 2015",The third full-length release for the Canadian indie band led by Jasamine White-Gluz was produced by Jorge Elbrecht.,81,7.5
1825,Shelly's on Zenn-La,Oliver Coates,"September 7, 2018","The third full-length solo release for the British cellist and producer features guest appearances from Chrysanthemum Bear, Malibu and Kathryn Williams.",81,tbd
1826,Lay It Down,Al Green,"May 27, 2008","Al Green's latest album includes guests John legend and Anthony Hamilton. It was also produced in part by Willie Mitchell and Ahmir ""?uestlove"" Thompson.",81,8.5
1827,Aerial,Kate Bush,"November 8, 2005",This double-disc set is the influential singer-songwriter's first album in a dozen years.,81,8.9
1828,Straight Songs of Sorrow,Mark Lanegan,"May 8, 2020","The latest solo release for the former Screaming Trees lead singer features contributions from such artists as Greg Dulli, the Bad Seeds’ Warren Ellis, Ed Harcourt, Led Zeppelin’s John Paul Jones, Lamb of God’s Mark Morton, and Portishead’s Adrian Utley.",81,8.0
1829,Lala Belu,Hailu Mergia,"February 23, 2018",The first new release in 15 years for the Ethiopian keyboard and accordion player features contributions from Tony Buck and Mike Majkowski.,81,tbd
1830,Expect Delays,Evans the Death,"March 10, 2015",The second full-length release for the London indie rock band was produced by Rory Atwell.,81,tbd
1831,Parting the Sea Between Brightness and Me,Touché Amoré,"June 7, 2011","Recorded over five days with producer Ed Rose, the second album for the Los Angeles post-hardcore band is its first on the Deathwish label.",81,7.8
1832,Angels of Death,Jennifer Castle,"May 18, 2018",The third full-length release for the Canadian singer-songwriter was written in a 19th century church near Lake Erie.,81,tbd
1833,Chosen Lords,Aphex Twin,"April 18, 2006","This ten-track album compiles versions of songs first released in 2005 as AFX's ""Analord"" series of (quite expensive) vinyl singles.",81,8.7
1834,After,Lady Lamb the Beekeeper,"March 3, 2015",The second full-length release for Aly Spaltro as Lady Lamb was co-produced by Nadim Issa.,81,8.0
1835,AJ Tracey,AJ Tracey,"February 8, 2019","The debut full-length release for the British rapper features guest appearances from Jay Critch, Giggs, and Not3s.",81,6.0
1836,Ungodly Hour,Chloe x Halle,"June 12, 2020",The second full-length studio release for the R&B sister duo of Chloe and Halle Bailey features guest appearances from Swae Lee and Mike Will Made-It.,81,9.0
1837,Onion,Shannon and the Clams,"February 16, 2018","The fifth full-length release for the Oakland, California quartet was produced by the Black Keys' Dan Auerbach.",81,7.8
1838,Ojalá,Lost Horizons,"November 3, 2017","The debut full-length release from Cocteau Twins' bassist Simon Raymonde and Dif Juz's drummer Richie Thomas features guest appearances from such artists as Ghostpoet, Marissa Nadler, Horse Thief's Cameron Neal, The Innocence Mission's Karen Peris, Hilang Child/Ed Riman, ex-Midlake frontman Tim Smith, Sharon Van Etten, and Lanterns On The Lake's Hazel Wilde.",81,7.4
1839,Now You Are One Of Us,The Paper Chase,"June 6, 2006","The experimental Dallas, Texas outfit led by John Congleton returns with a spooky, noisy fourth album.",81,8.5
